ticker,company,name,name_count,women_count,excess,total_board,men_count,unknown_count,all_men_with_name,women_names,all_board_names
EXT,EXCITE TECHNOLOGY SERVICES LTD,Steven,1,0,1,3,3,0,Steven Bliim,(none),Steven Bliim (M) | Bryan Saba (M) | Neil Sinclair (M)
FAR,FAR LIMITED,Patrick,1,0,1,3,3,0,Patrick O'Connor,(none),Patrick O'Connor (M) | Robert Kaye (M) | Andrew Lilley (M)
FNR,FAR NORTHERN RESOURCES LIMITED,Cameron,1,0,1,3,3,0,Cameron Woodrow,(none),Cameron Woodrow (M) | Matthew Bashford (M) | Nicholas Revell (M)
FRM,FARM PRIDE FOODS LIMITED,Darren,1,0,1,3,3,0,Darren Lurie,(none),Darren Lurie (M) | George Palatianos (M) | Malcolm Ward (M)
FFG,FATFISH GROUP LIMITED,Larry,1,0,1,4,4,0,Larry Nyap Liou Gan,(none),Larry Gan (M) | Kin Lau (M) | Donald Low (M) | Jeffrey Tan (M)
FXG,FELIX GOLD LIMITED,Ronald,1,0,1,4,4,0,Ronald Hugh Beevor,(none),Ronald Beevor (M) | Andrew Browne (M) | Joseph Webb (M) | Mark Strizek (M)
FFI,FFI HOLDINGS LIMITED,Rodney,1,0,1,3,3,0,Rodney G Moonen,(none),Rodney Moonen (M) | Geoffrey Nicholson (M) | Robert Fraser (M)
FIN,FIN RESOURCES LIMITED,Aaron,1,0,1,3,3,0,Aaron Bertolatti,(none),Aaron Bertolatti (M) | Jason Bontempo (M) | Bruce McFadzean (M)
FRI,FINBAR GROUP LIMITED,John,1,0,1,4,4,0,John Chan,(none),John Chan (M) | Ronald Chan (M) | Terence Peh (M) | Eldon Wan (M)
FND,FINDI LIMITED,Nicholas,1,0,1,3,3,0,Nicholas Smedley,(none),Nicholas Smedley (M) | Stephen Benton (M) | Tineyi Matanda (M)
FNX,FINEXIA FINANCIAL GROUP LIMITED,Robert,1,0,1,3,3,0,Robert Spano,(none),Robert Spano (M) | Neil Sheather (M) | Daniel Ritchie (M)
FRB,FIREBIRD METALS LIMITED,Evan,1,0,1,5,5,0,Evan Cranston,(none),Evan Cranston (M) | Ron Mitchell (M) | Brett Grosvenor (M) | Ashley Pattison (M) | Wei Li (M)
FRE,FIREBRICK PHARMA LIMITED,Rick,1,0,1,4,2,2,Rick Legleiter,(none),Peter Molloy (?) | Stephen Goodall (?) | Rick Legleiter (M) | Moghaddam Moghaddam (M)
FAU,FIRST AU LIMITED,Daniel,1,0,1,3,3,0,Daniel Raihani,(none),Daniel Raihani (M) | Piers Lewis (M) | Lei Shi (M)
FL1,FIRST LITHIUM LIMITED,Lee,1,0,1,4,4,0,Lee Christensen,(none),Lee Christensen (M) | Venkatesh Padala (M) | Jason Ferris (M) | Andrew Law (M)
FCT,FIRSTWAVE CLOUD TECHNOLOGY LIMITED,Roger,1,0,1,3,3,0,Roger Gilbert Buckeridge,(none),Roger Buckeridge (M) | Daniel Maher (M) | David Garnier (M)
FRX,FLEXIROAM LIMITED,Wee,1,0,1,3,3,0,Wee Keat Chan,(none),Wee Chan (M) | Nicholas Ong (M) | Jefrey Ong (M)
FLC,FLUENCE CORPORATION LIMITED,Douglas,1,0,1,5,5,0,Douglas Brown,(none),Douglas Brown (M) | Benjamin Fash (M) | Norman Ashton (M) | Paul Donnelly (M) | Nikolaus Oldendorf (M)
FG1,FLYNN GOLD LIMITED,Clive,1,0,1,4,4,0,Clive Ian Duncan,(none),Clive Duncan (M) | Neil Marston (M) | Samuel Garrett (M) | John Forwood (M)
FMR,FMR RESOURCES LIMITED,Patrick,1,0,1,4,4,0,Patrick Burke,(none),Patrick Burke (M) | Oliver Kiddie (M) | Cameron Peacock (M) | Justin Werner (M)
FML,FOCUS MINERALS LTD,Wang,1,0,1,5,5,0,Wang Hong Yang,(none),Wang Yang (M) | Lingquan Kong (M) | Zhongshan Song (M) | Gerry Fahey (M) | Richard O'Shannassy (M)
FGH,FORESTA GROUP HOLDINGS LIMITED,Pai-Heng,1,0,1,3,2,1,Pai-Heng Cheng,(none),Pai-Heng Cheng (M) | Russell Allen (M) | Maurice Fabiani (?)
FRS,FORRESTANIA RESOURCES LIMITED,David,1,0,1,4,4,0,David Michael Geraghty,(none),David Geraghty (M) | Brett Hodgins (M) | Daniel Raihani (M) | Adam Turnbull (M)
FEL,FORTE ENERGY LIMITED,Dougal,1,0,1,3,3,0,Dougal Ferguson,(none),Dougal Ferguson (M) | Brett Lawrence (M) | Iain Smith (M)
FUN,FORTUNA METALS LTD,David,1,0,1,3,3,0,David Frances,(none),David Frances (M) | Peter Pawlowitsch (M) | Brian Thomas (M)
FHS,FREEHILL MINING LIMITED.,Ben,1,0,1,3,3,0,Ben Jarvis,(none),Ben Jarvis (M) | Paul Davies (M) | Peter Williams (M)
FLN,FREELANCER LIMITED,Robert,1,0,1,5,5,0,Robert Matthew Barrie,(none),Robert Barrie (M) | Simon Clausen (M) | Patrick Grove (M) | Craig Scroggie (M) | Darren Williams (M)
FUL,FULCRUM LITHIUM LTD,Norman,1,0,1,4,4,0,Norman A. Seckold,(none),Norman Seckold (M) | Peter Nightingale (M) | Anthony Sgro (M) | Foster Wilson (M)
FME,FUTURE METALS NL,Patrick,1,0,1,4,4,0,Patrick Walta,(none),Patrick Walta (M) | Keith Bowes (M) | John Carr (M) | Sam Rodda (M)
G11,G11 RESOURCES LIMITED,Martin,1,0,1,4,4,0,Martin Donohue,(none),Martin Donohue (M) | Jose Merino (M) | Simon Peters (M) | Chris Williams (M)
G50,G50 CORP LIMITED,Ian,1,0,1,4,3,1,Ian Davies,(none),Ian Davies (M) | Mark Wallace (M) | Craig Feebrey (?) | Bernard Rowe (M)
GLL,GALILEE ENERGY LIMITED,Eduardo,1,0,1,3,3,0,Eduardo Robaina,(none),Eduardo Robaina (M) | Joseph Graham (M) | Dale Hanna (M)
GAL,GALILEO MINING LTD,Brad,1,0,1,3,3,0,Brad Underwood,(none),Brad Underwood (M) | Noel O'Brian (M) | Mathew Whyte (M)
GDF,GARDA PROPERTY GROUP,Matthew,1,0,1,4,4,0,Matthew Madsen,(none),Matthew Madsen (M) | Oliver Talbot (M) | Andrew Thornton (M) | Paul Leitch (M)
GBM,GBM RESOURCES LIMITED.,Ian,1,0,1,7,7,0,Ian Middlemas,(none),Ian Middlemas (M) | Daniel Hastings (M) | Andrew Krelle (M) | Robert Behets (M) | Peter Fox (M) | Liu Hang (M) | Sunny Loh (M)
GCM,GCM CORPORATION LIMITED,Clinton,1,0,1,3,3,0,Clinton Lewis Booth,(none),Clinton Booth (M) | Charles Thomas (M) | Christopher Zielinski (M)
GES,GENESIS RESOURCES LIMITED,Eddie,1,0,1,6,6,0,Eddie Lung Yiu Pang,(none),Eddie Pang (M) | James Patterson (M) | Yau Lim (M) | Kim Lim (M) | Eric Mah (M) | Deric Wee (M)
GTG,GENETIC TECHNOLOGIES LIMITED,Michael,1,0,1,3,3,0,Michael Walker,(none),Michael Walker (M) | William Musgrave (M) | Steve Nicols (M)
GEN,GENMIN LIMITED,Greg,1,0,1,5,5,0,Greg Lilleyman,(none),Greg Lilleyman (M) | Andrew Taplin (M) | Salvatore Amico (M) | Giuseppe Ariti (M) | John Hodder (M)
GNP,GENUSPLUS GROUP LTD,Simon,1,0,1,5,5,0,Simon High,(none),Simon High (M) | David Riches (M) | Paul Gavazzi (M) | Jose Martins (M) | Tony Narvaez (M)
GPR,GEOPACIFIC RESOURCES LTD,Graham,1,0,1,6,6,0,Graham Ascough,(none),Graham Ascough (M) | James Fox (M) | Hamish Bohannan (M) | Michael Brook (M) | Rowan Johnston (M) | Hansjoerg Plaggemars (M)
GIB,GIBB RIVER DIAMONDS LIMITED,Jim,1,0,1,3,3,0,Jim Richards,(none),Jim Richards (M) | Grant Mooney (M) | Tom Reddicliffe (M)
GC1,GLENNON SMALL COMPANIES LIMITED,Michael,1,0,1,3,3,0,Michael Glennon,(none),Michael Glennon (M) | Sulieman Ravell (M) | Craig Stranger (M)
GLH,GLOBAL HEALTH LIMITED,Stuart,1,0,1,3,3,0,Stuart Grant Smith,(none),Stuart Smith (M) | Mathew Cherian (M) | Steven Pynt (M)
GL1,GLOBAL LITHIUM RESOURCES LIMITED,Richard,1,0,1,4,2,2,Richard O'Shannassy,(none),Richard O'Shannassy (M) | Dianmin Chen (?) | Liaoliang Zhu (M) | Xiaoxuan Sun (?)
GLB,GLOBE INTERNATIONAL LIMITED,Harry,1,0,1,4,4,0,Harry Hodge,(none),Harry Hodge (M) | Matt Hill (M) | Stephen Hill (M) | Peter Hill (M)
GCR,GOLDEN CROSS RESOURCES LTD,Boris,1,0,1,5,5,0,Boris Patkin,(none),Boris Patkin (M) | Kevin Lee (M) | Jordan Li (M) | Yan Li (M) | Yuanheng Wang (M)
GDR,GOLDEN DRAGON MINING LTD,Rhoderick,1,0,1,4,4,0,Rhoderick Gordon John Grivas,(none),Rhoderick Grivas (M) | Simon Buswell-Smith (M) | Francesco Cannavo (M) | Sam Zheng (M)
GGR,GOLDEN GLOBE RESOURCES LTD.,Robert,1,0,1,3,3,0,Robert Patrick Highsmith,(none),Robert Highsmith (M) | Colin McMillan (M) | Raymond Raad (M)
